product_group_id,brand,color,type,category,season,print,sleeve,fit,other_tags,color_shade
765,Damat,Blue,Tops,Casual Shirts,AW14,Dots,Longsleeve,Slim,Cut Away,Medium
753,Lacoste,White,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
743,Alternative Apparel,Green,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,Crew neck,Medium
742,Alternative Apparel,Beige,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,Crew neck,Light
740,AG Jeans,Olive,Tops,T-Shirt,AW14,Plain,Longsleeve,Regular,Crew neck,Dark
738,Alternative Apparel,Green,Tops,T-Shirt,SS15,Graphic,Shortsleeve,Slim,Crew neck,Medium
726,Converse,Black,Shoes,Sneakers,AW14,Plain,None,None,None,Dark
792,LE COQ SPORTIF,White,Tops,T-Shirt,SS15,Graphic,Shortsleeve,Regular,Crew neck,Light
810,LE COQ SPORTIF,Navy,Bottoms,Sweatpants,SS15,Plain,None,Slim,None,Dark
838,SuitSupply,White,Tops,Formal Shirts,AW14,Check / plaid,Longsleeve,Slim,Cut Away,Light
816,Cordone,Blue,Tops,Casual Shirts,AW16,Stripe,Longsleeve,Slim,Cut Away,Medium
804,AG Jeans,Gray,Tops,T-Shirt,AW14,Stripe,Shortsleeve,Regular,Deep V neck,Light
791,AG Jeans,Blue,Bottoms,Jeans,AW14,Plain,None,Slim,Light,Medium
886,Lacoste,Navy,Accessories,Belt,SS15,Plain,None,None,Wide,Dark
904,Lacoste,Navy,Shoes,Slip on,AW14,Plain,None,None,None,Dark
902,Alternative Apparel,Brown,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,V neck,Dark
901,one 90 One,Gray,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,"V neck,Patch",Light
567,Hackett,Yellow,Bottoms,Shorts,SS17,Plain,None,Slim,Welt,Light
898,one 90 One,Navy,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,"V neck,Patch",Dark
892,one 90 One,Blue,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,"Down,Western",Medium
631,Happy Socks,Navy,Accessories,Socks,ss17,Plain,None,None,Mid calf,Dark
2560,Scotch & Soda,Blue,Bottoms,Jeans,SS19,Plain,None,Regular,None,Medium
2561,Scotch & Soda,Blue,Bottoms,Jeans,SS19,Plain,None,Regular,None,Medium
2562,Scotch & Soda,Navy,Tops,Casual Shirts,SS19,Dots,Longsleeve,Regular,Button Down,Dark
2563,Scotch & Soda,Pink,Tops,Casual Shirts,SS19,Dots,Longsleeve,Regular,Button Down,Light
876,SuitSupply,Blue,Tops,Blazer,AW14,Plain,Longsleeve,Slim,"Patch,Notched,2 button",Medium
2565,Scotch & Soda,Olive,Tops,T-Shirt,SS19,Plain,Shortsleeve,Straight,"Crew neck,Patch",Dark
2566,Scotch & Soda,Blue,Tops,T-Shirt,SS19,Plain,Shortsleeve,Straight,"Crew neck,Patch",Medium
2567,Scotch & Soda,Navy,Tops,T-Shirt,SS19,Plain,Shortsleeve,Straight,"Crew neck,Patch",Dark
871,one 90 One,Black,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,"Wide,Western",Dark
2571,Scotch & Soda,Gray,Tops,T-Shirt,SS19,Dots,Shortsleeve,None,Crew neck,Light
2572,Scotch & Soda,Blue,Tops,Knitwear,SS19,Plain,Longsleeve,Regular,Crew neck,Medium
2573,Scotch & Soda,Black,Tops,Knitwear,SS19,Plain,Longsleeve,Regular,Crew neck,Dark
2574,Scotch & Soda,Gray,Tops,Knitwear,SS19,Plain,Longsleeve,Regular,Crew neck,Light
2575,Scotch & Soda,Navy,Tops,Casual Shirts,SS19,Plain,Longsleeve,Regular,Down,Dark
2576,Scotch & Soda,Navy,Tops,T-Shirt,SS19,Dots,Shortsleeve,Regular,"Crew neck,Patch",Dark
869,Cordone,Blue,Tops,Formal Shirts,AW15,Plain,Longsleeve,Slim,Wide,Medium
2582,Scotch & Soda,Gray,Tops,Polos,SS19,Plain,Shortsleeve,None,None,Light
2587,Scotch & Soda,Gray,Bottoms,Chinos,SS19,Plain,None,Slim,None,Light
2588,Scotch & Soda,Blue,Bottoms,Jeans,SS19,Plain,None,Slim,None,Medium
2589,Scotch & Soda,Blue,Bottoms,Jeans,SS19,Plain,None,Slim,None,Medium
2590,Scotch & Soda,Blue,Bottoms,Jeans,SS19,Plain,None,Regular,None,Medium
2591,Scotch & Soda,Blue,Bottoms,Jeans,SS19,Plain,None,Skinny,None,Medium
2592,Scotch & Soda,Navy,Tops,Blazer,SS19,Plain,None,Slim,"Patch,2 button",Dark
2569,Scotch & Soda,Yellow,Tops,T-Shirt,SS19,Plain,Shortsleeve,Straight,"Crew neck,Patch",Light
2581,Scotch & Soda,Light Green,Tops,Casual Shirts,SS19,Dots,Longsleeve,Regular,"Down,Patch",Light
861,Alternative Apparel,Blue,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,Crew neck,Medium
860,Japan Rags,White,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,V neck,Light
851,SuitSupply,Brown,Shoes,Loafers,AW14,Plain,None,None,None,Dark
969,one 90 One,Burgundy,Bottoms,Chinos,AW14,Plain,None,Regular,None,Dark
963,one 90 One,Gray,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,"Down,Western",Light
958,one 90 One,Black,Tops,Casual Shirts,AW14,Stripe,Longsleeve,Regular,"Cut Away,Western",Dark
938,Japan Rags,Black,Accessories,Belt,AW14,Plain,None,None,Wide,Dark
923,one 90 One,Blue,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,"V neck,Patch",Medium
1028,Mexx,Blue,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Down,Medium
1027,Alternative Apparel,Black,Bottoms,Sweatpants,AW14,Plain,None,Slim,None,Dark
1025,one 90 One,White,Tops,Casual Shirts,AW14,Stripe,Longsleeve,Regular,"Cut Away,Western",Light
1021,Lacoste,Red,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,Crew neck,Medium
1009,BLUE MINT,Blue,Tops,T-Shirt,SS14,Plain,Shortsleeve,Regular,Crew neck,Medium
1008,one 90 One,Blue,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,"Down,Patch",Medium
1004,one 90 One,Blue,Tops,Casual Shirts,AW14,Stripe,Longsleeve,Regular,"Cut Away,Western",Medium
996,Damat,Pink/Gray/White,Tops,Casual Shirts,AW14,Check / plaid,Shortsleeve,Slim,Down,Mixed
2418,Hackett,Blue,Tops,Casual Shirts,AW18,Check / plaid,Longsleeve,Slim,Button Down,Medium
2419,Hackett,Navy,Tops,Casual Shirts,AW18,Check / plaid,Longsleeve,Slim,Button Down,Dark
693,LE COQ SPORTIF,Light blue,Tops,T-Shirt,SS15,Graphic,Shortsleeve,Regular,Crew neck,Light
2421,Hackett,White,Tops,Casual Shirts,AW18,Dots,Longsleeve,Slim,Down,Light
988,Damat,Black,Accessories,Belt,AW14,Plain,None,None,Wide,Dark
2423,Hackett,Navy,Tops,Casual Shirts,AW18,Dots,Longsleeve,Slim,Down,Dark
2424,Hackett,Blue,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Down,Medium
2585,Scotch & Soda,Navy,Bottoms,Chinos,SS19,Plain,None,Slim,None,Dark
