,Type,Brand,Category,Fit,Size_type,Size,Found
98,Tops,Claudio Sartore,Polos,Regular,Categorical,,
99,Tops,Claudio Sartore,Casual Outerwear,None,Numeric,,
100,Tops,Fred Perry,T-Shirt,Slim,Categorical,,
101,Tops,Fred Perry,T-Shirt,Regular,Categorical,,
102,Tops,Fred Perry,Casual Shirts,Slim,Categorical,,
103,Tops,Fred Perry,Casual Shirts,Regular,Categorical,,
104,Tops,Fred Perry,Polos,Regular,Categorical,,
105,Tops,Fred Perry,Polos,Slim,Categorical,,
106,Tops,Fred Perry,Casual Outerwear,Slim,Categorical,,
107,Tops,Fred Perry,Sweaters,Slim,Categorical,,
108,Tops,AMI,Casual Shirts,Regular,Numeric,,
109,Tops,AMI,Casual Shirts,Slim,Numeric,,
110,Tops,AMI,Polos,Regular,Categorical,,
111,Tops,AMI,Sweatshirts,Regular,Categorical,,
112,Tops,AMI,T-Shirt,Regular,Categorical,,
113,Tops,AMI,Hoodies,Slim,Categorical,,
114,Tops,Sacoor,Sweaters,Slim,Categorical,,
115,Tops,Sacoor,Sweaters,Regular,Categorical,,
116,Tops,Sacoor,Casual Outerwear,Slim,Categorical,,
117,Tops,Sacoor,Casual Outerwear,Regular,Categorical,,
118,Tops,Sacoor,Formal Shirts,Slim,Numeric,,
119,Tops,Sacoor,Formal Shirts,Regular,Numeric,,
120,Tops,Sacoor,Casual Shirts,Slim,Categorical,,
121,Tops,Sacoor,Casual Shirts,Regular,Numeric,,
122,Tops,Sacoor,Casual Shirts,None,Categorical,,
123,Tops,Sacoor,Blazer,Slim,Numeric,,
124,Tops,BLUE MINT,T-Shirt,Slim,Categorical,,
125,Tops,BLUE MINT,T-Shirt,Regular,Categorical,,
126,Tops,BLUE MINT,Polos,Regular,Categorical,,
127,Tops,Alternative Apparel,Hoodies,Slim,Categorical,,
128,Tops,Alternative Apparel,T-Shirt,Slim,Categorical,,
129,Tops,Alternative Apparel,T-Shirt,Regular,Categorical,,
130,Tops,Rhordan,T-Shirt,Slim,Categorical,,
131,Tops,Dedicated,T-Shirt,None,Categorical,,
132,Tops,Dedicated,T-Shirt,Regular,Categorical,,
133,Tops,Dedicated,Hoodies,Slim,Categorical,,
134,Tops,Dedicated,Casual Outerwear,Slim,Categorical,,
135,Tops,Dedicated,Casual Shirts,Regular,Categorical,,
136,Tops,Dedicated,Casual Shirts,None,0,,
137,Tops,Dedicated,Sweatshirts,Slim,Categorical,,
138,Tops,Sharq & Gharb,T-Shirt,Slim,Categorical,,
139,Tops,Mr. Draper,Casual Shirts,Slim,Numeric,,
140,Tops,Mr. Draper,Formal Shirts,Slim,Numeric,,
141,Tops,Campione,Casual Shirts,None,Categorical,,
142,Tops,Campione,Casual Shirts,Regular,Categorical,,
143,Tops,Campione,Casual Shirts,Slim,Categorical,,
144,Tops,Campione,Polos,None,Categorical,,
145,Tops,Campione,T-Shirt,Regular,Categorical,,
146,Tops,Tommy Hilfiger,T-Shirt,Regular,Categorical,,
147,Tops,Tommy Hilfiger,T-Shirt,None,Categorical,,
148,Tops,Tommy Hilfiger,T-Shirt,Slim,Categorical,,
149,Tops,Tommy Hilfiger,T-Shirt,Comfort,Categorical,,
150,Tops,Tommy Hilfiger,Casual Shirts,Slim,Categorical,,
151,Tops,Tommy Hilfiger,Casual Shirts,None,Categorical,,
152,Tops,Tommy Hilfiger,Casual Shirts,Regular,Categorical,,
153,Tops,Tommy Hilfiger,Casual Shirts,Comfort,Categorical,,
154,Tops,Tommy Hilfiger,Polos,Regular,Categorical,,
155,Tops,Tommy Hilfiger,Polos,Slim,Categorical,,
156,Tops,Tommy Hilfiger,Polos,None,Categorical,,
157,Tops,Tommy Hilfiger,Polos,Comfort,Categorical,,
158,Tops,Tommy Hilfiger,Sweatshirts,None,Categorical,,
159,Tops,Tommy Hilfiger,Sweatshirts,Regular,Categorical,,
160,Tops,Tommy Hilfiger,Sweatshirts,Comfort,Categorical,,
161,Tops,Tommy Hilfiger,Formal Shirts,Slim,Numeric,,
162,Tops,Tommy Hilfiger,Formal Shirts,Regular,Numeric,,
163,Tops,Tommy Hilfiger,Blazer,Slim,Numeric,,
164,Tops,Tommy Hilfiger,Sweaters,Comfort,Categorical,,
165,Tops,Tommy Hilfiger,Sweaters,Regular,Categorical,,
166,Tops,Tommy Hilfiger,Casual Outerwear,Slim,Categorical,,
167,Tops,Tommy Hilfiger,Casual Outerwear,Regular,Categorical,,
168,Tops,Strarwish,T-Shirt,Slim,Categorical,,
169,Tops,Kairen,Casual Shirts,Slim,Numeric,,
170,Tops,Lacoste,Polos,Slim,Categorical,,
171,Tops,Lacoste,Polos,Regular,Categorical,,
172,Tops,Lacoste,Formal Shirts,Slim,Numeric,,
173,Tops,Lacoste,T-Shirt,Slim,Numeric,,
174,Tops,Lacoste,T-Shirt,Regular,Numeric,,
175,Tops,Lacoste,Knitwear,Comfort,Numeric,,
176,Tops,Lacoste,Sweatshirts,Slim,Numeric,,
177,Tops,Vilebrequin,T-Shirt,Slim,Categorical,,
178,Tops,Vilebrequin,Polos,Regular,Categorical,,
179,Tops,Vilebrequin,Casual Shirts,Slim,Categorical,,
180,Tops,Intense,Sweatshirts,None,Categorical,,
181,Tops,Emporio Armani,T-Shirt,Straight,Categorical,,
182,Tops,Emporio Armani,T-Shirt,Slim,Categorical,,
183,Tops,Timothy Everest,Knitwear,None,Categorical,,
184,Tops,Guards London,Coats,Tailored,Numeric,,
185,Tops,Guards London,Blazer,Regular,Numeric,,
186,Tops,Guards London,Casual Outerwear,Tailored,Numeric,,
187,Tops,Harris Wharf,Blazer,Tailored,Numeric,,
188,Tops,Drake's,Formal Shirts,Slim,Numeric,,
189,Tops,Hilditch & Key,Formal Shirts,Regular,Numeric,,
190,Tops,Hilditch & Key,Formal Shirts,None,Numeric,,
191,Tops,Emmett,Formal Shirts,Slim,Numeric,,
192,Tops,Emmett,Formal Shirts,Regular,Numeric,,
193,Tops,Emmett,Formal Shirts,None,Numeric,,
194,Tops,Mocha Salt,T-Shirt,Regular,Categorical,,
195,Tops,Emma Willis,Formal Shirts,Slim,Numeric,,
