Type,Brand,Category,Fit,Size,Found,Size_type
Tops,Claudio Sartore,T-Shirt,None,,,Categorical
Tops,Claudio Sartore,Polos,None,,,Categorical
Tops,Claudio Sartore,Polos,Regular,,,Categorical
Tops,Claudio Sartore,Casual Outerwear,None,,,Numeric
Tops,Fred Perry,T-Shirt,Slim,,,Categorical
Tops,Fred Perry,T-Shirt,Regular,,,Categorical
Tops,Fred Perry,Casual Shirts,Slim,,,Categorical
Tops,Fred Perry,Casual Shirts,Regular,,,Categorical
Tops,Fred Perry,Polos,Regular,,,Categorical
Tops,Fred Perry,Polos,Slim,,,Categorical
Tops,Fred Perry,Casual Outerwear,Slim,,,Categorical
Tops,Fred Perry,Sweaters,Slim,,,Categorical
Tops,AMI,Casual Shirts,Regular,,,Numeric
Tops,AMI,Casual Shirts,Slim,,,Numeric
Tops,AMI,Polos,Regular,,,Categorical
Tops,AMI,Sweatshirts,Regular,,,Categorical
Tops,AMI,T-Shirt,Regular,,,Categorical
Tops,AMI,Hoodies,Slim,,,Categorical
Tops,Sacoor,Sweaters,Slim,,,Categorical
Tops,Sacoor,Sweaters,Regular,,,Categorical
Tops,Sacoor,Casual Outerwear,Slim,,,Categorical
Tops,Sacoor,Casual Outerwear,Regular,,,Categorical
Tops,Sacoor,Formal Shirts,Slim,,,Numeric
Tops,Sacoor,Formal Shirts,Regular,,,Numeric
Tops,Sacoor,Casual Shirts,Slim,,,Categorical
Tops,Sacoor,Casual Shirts,Regular,,,Numeric
Tops,Sacoor,Casual Shirts,None,,,Categorical
Tops,Sacoor,Blazer,Slim,,,Numeric
Tops,BLUE MINT,T-Shirt,Slim,,,Categorical
Tops,BLUE MINT,T-Shirt,Regular,,,Categorical
Tops,BLUE MINT,Polos,Regular,,,Categorical
Tops,Alternative Apparel,Hoodies,Slim,,,Categorical
Tops,Alternative Apparel,T-Shirt,Slim,,,Categorical
Tops,Alternative Apparel,T-Shirt,Regular,,,Categorical
Tops,Rhordan,T-Shirt,Slim,,,Categorical
Tops,Dedicated,T-Shirt,None,,,Categorical
Tops,Dedicated,T-Shirt,Regular,,,Categorical
Tops,Dedicated,Hoodies,Slim,,,Categorical
Tops,Dedicated,Casual Outerwear,Slim,,,Categorical
Tops,Dedicated,Casual Shirts,Regular,,,Categorical
Tops,Dedicated,Casual Shirts,None,,,0
Tops,Dedicated,Sweatshirts,Slim,,,Categorical
Tops,Sharq & Gharb,T-Shirt,Slim,,,Categorical
Tops,Mr. Draper,Casual Shirts,Slim,,,Numeric
Tops,Mr. Draper,Formal Shirts,Slim,,,Numeric
Tops,Campione,Casual Shirts,None,,,Categorical
Tops,Campione,Casual Shirts,Regular,,,Categorical
Tops,Campione,Casual Shirts,Slim,,,Categorical
Tops,Campione,Polos,None,,,Categorical
Tops,Campione,T-Shirt,Regular,,,Categorical
Tops,Tommy Hilfiger,T-Shirt,Regular,,,Categorical
Tops,Tommy Hilfiger,T-Shirt,None,,,Categorical
Tops,Tommy Hilfiger,T-Shirt,Slim,,,Categorical
Tops,Tommy Hilfiger,T-Shirt,Comfort,,,Categorical
Tops,Tommy Hilfiger,Casual Shirts,Slim,,,Categorical
Tops,Tommy Hilfiger,Casual Shirts,None,,,Categorical
Tops,Tommy Hilfiger,Casual Shirts,Regular,,,Categorical
Tops,Tommy Hilfiger,Casual Shirts,Comfort,,,Categorical
Tops,Tommy Hilfiger,Polos,Regular,,,Categorical
Tops,Tommy Hilfiger,Polos,Slim,,,Categorical
Tops,Tommy Hilfiger,Polos,None,,,Categorical
Tops,Tommy Hilfiger,Polos,Comfort,,,Categorical
Tops,Tommy Hilfiger,Sweatshirts,None,,,Categorical
Tops,Tommy Hilfiger,Sweatshirts,Regular,,,Categorical
Tops,Tommy Hilfiger,Sweatshirts,Comfort,,,Categorical
Tops,Tommy Hilfiger,Formal Shirts,Slim,,,Numeric
Tops,Tommy Hilfiger,Formal Shirts,Regular,,,Numeric
Tops,Tommy Hilfiger,Blazer,Slim,,,Numeric
Tops,Tommy Hilfiger,Sweaters,Comfort,,,Categorical
Tops,Tommy Hilfiger,Sweaters,Regular,,,Categorical
Tops,Tommy Hilfiger,Casual Outerwear,Slim,,,Categorical
Tops,Tommy Hilfiger,Casual Outerwear,Regular,,,Categorical
Tops,Strarwish,T-Shirt,Slim,,,Categorical
Tops,Kairen,Casual Shirts,Slim,,,Numeric
Tops,Lacoste,Polos,Slim,,,Categorical
Tops,Lacoste,Polos,Regular,,,Categorical
Tops,Lacoste,Formal Shirts,Slim,,,Numeric
Tops,Lacoste,T-Shirt,Slim,,,Numeric
Tops,Lacoste,T-Shirt,Regular,,,Numeric
Tops,Lacoste,Knitwear,Comfort,,,Numeric
Tops,Lacoste,Sweatshirts,Slim,,,Numeric
Tops,Vilebrequin,T-Shirt,Slim,,,Categorical
Tops,Vilebrequin,Polos,Regular,,,Categorical
Tops,Vilebrequin,Casual Shirts,Slim,,,Categorical
Tops,Intense,Sweatshirts,None,,,Categorical
Tops,Emporio Armani,T-Shirt,Straight,,,Categorical
Tops,Emporio Armani,T-Shirt,Slim,,,Categorical
Tops,Timothy Everest,Knitwear,None,,,Categorical
