,user_id,user_weight,user_height,user_shirts_fit,user_pants_fit,user_waist_size,user_shirt_size,user_blazer_size,type,brand,category,fit,purchased,reason,size
37670,39489,78.0,176.0,Regular Fit,Skinny Fit,30,M,50,Bottoms,Scotch & Soda,Chinos,Skinny,yes,,30/34
37671,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Tops,Scotch & Soda,Polos,Regular,yes,,M
37672,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,L
37673,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Bottoms,Scotch & Soda,Chinos,Slim,yes,,36/32
37674,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Tops,Sacoor,Formal Shirts,Regular,no,TOO BIG,42
37675,38368,95.0,187.0,Regular Fit,Regular Fit,36,L,54,Bottoms,Hackett,Chinos,Slim,yes,,36
37676,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Bottoms,Hackett,Chinos,Regular,no,TOO BIG,33
37677,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Bottoms,Scotch & Soda,Chinos,Slim,yes,,32/32
37678,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Tops,Scotch & Soda,Polos,Regular,yes,,M
37679,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Tops,Scotch & Soda,Casual Shirts,Regular,no,TOO BIG,M
37680,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Tops,Tommy Hilfiger,Polos,Slim,yes,NOT MY COLOR,M
37681,41512,70.0,179.0,Slim Fit,Regular Fit,32,M,48,Bottoms,Dedicated,Chinos,Regular,no,TOO BIG,32
37682,41360,68.0,166.0,Slim Fit,Slim Fit,30,S,No idea,Tops,Cavanni,Casual Shirts,Slim,yes,,15
37683,38368,95.0,187.0,Regular Fit,Regular Fit,36,L,54,Tops,Sacoor,Blazer,Slim,yes,,54
37684,41203,65.0,186.0,Slim Fit,Regular Fit,36,L,No idea,Shoes,Sacoor,Loafers,None,no,TOO SMALL,45
37685,39648,72.0,150.0,Regular Fit,Slim Fit,32,L,No idea,Bottoms,Hackett,Shorts,Slim,no,TOO SMALL,31
37686,39648,72.0,150.0,Regular Fit,Slim Fit,32,L,No idea,Bottoms,Scotch & Soda,Chinos,Slim,no,TOO BIG,32/34
37687,41397,59.0,186.0,,,32,S,46,Bottoms,Cavanni,Jeans,Skinny,no,TOO BIG,30/32
37688,41360,68.0,166.0,Slim Fit,Slim Fit,30,S,No idea,Shoes,Sacoor,Loafers,None,yes,,41
37689,1806,82.0,181.0,Slim Fit,Slim Fit,34,L,50,Bottoms,Ralph Lauren,Shorts,Comfort,yes,,M
